TODROP,RANK,ID,GRADES,VR,SP,VR+SP,CZECH,MATH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
228,314,88893,1.466,11.0,11.0,22.0,27,15,65.46600000000001,0,2017,2081
229,315,27885,1.0,6.0,16.0,22.0,27,15,65.0,0,2017,2081
230,316,98487,2.0,11.0,15.0,26.0,26,11,65.0,0,2017,2081
231,317,49041,1.099,10.0,15.0,25.0,10,28,64.09899999999999,0,2017,2081
232,318,97257,1.7690000000000001,9.0,14.0,23.0,18,21,63.769,0,2017,2081
233,319,57651,1.534,10.0,15.0,25.0,22,15,63.534,0,2017,2081
234,320,66753,1.534,10.0,14.0,24.0,23,15,63.534,0,2017,2081
235,321,37233,1.901,13.0,16.0,29.0,18,14,62.901,0,2017,2081
236,322,59127,0.8320000000000001,13.0,10.0,23.0,18,21,62.832,0,2017,2081
237,323,21243,1.67,8.0,14.0,22.0,23,16,62.67,0,2017,2081
238,324,99471,1.67,10.0,10.0,20.0,21,20,62.67,0,2017,2081
239,325,34527,1.7990000000000002,13.0,11.0,24.0,20,16,61.799,0,2017,2081
240,326,59865,1.466,10.0,13.0,23.0,23,14,61.466,0,2017,2081
241,327,38709,1.901,15.0,12.0,27.0,16,16,60.901,0,2017,2081
242,328,60849,1.534,10.0,10.0,20.0,15,24,60.534,0,2017,2081
243,329,44121,1.367,9.0,11.0,20.0,24,15,60.367,0,2017,2081
244,330,28131,1.1320000000000001,13.0,16.0,29.0,15,15,60.132,0,2017,2081
245,331,53223,1.568,15.0,13.0,28.0,20,10,59.568000000000005,0,2017,2081
246,332,63555,1.33,8.0,17.0,25.0,14,19,59.33,0,2017,2081
247,333,96519,1.67,13.0,8.0,21.0,20,16,58.67,0,2017,2081
248,334,88647,1.198,10.0,13.0,23.0,22,12,58.198,0,2017,2081
249,335,92583,1.901,10.0,16.0,26.0,20,10,57.901,0,2017,2081
250,336,66015,0.9009999999999999,8.0,14.0,22.0,15,20,57.901,0,2017,2081
251,337,48549,1.2309999999999999,12.0,14.0,26.0,17,13,57.231,0,2017,2081
252,338,15831,1.7690000000000001,7.0,13.0,20.0,18,17,56.769,0,2017,2081
253,339,65031,2.0,9.0,15.0,24.0,19,11,56.0,0,2017,2081
254,340,11403,1.901,13.0,10.0,23.0,13,18,55.901,0,2017,2081
255,341,89877,1.2009999999999998,9.0,11.0,20.0,18,16,55.201,0,2017,2081
256,341,71181,1.2009999999999998,11.0,11.0,22.0,13,19,55.201,0,2017,2081
257,343,53469,1.901,7.0,13.0,20.0,12,20,53.901,0,2017,2081
258,344,84957,1.37,8.0,10.0,18.0,16,18,53.37,0,2017,2081
