"Výsledky přijímacího řízení - Gymnázium, Praha 5, Nad Kavalírkou 1
16.04.2019, 17.04.2019
Nepřijatí uchazeči
zveřejněno dne 30.04.2019
""Výsledky přijímacích zkoušek pro školní rok 2019/2020, které jsou zveřejněné na
webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce
Gymnázia, Praha 5, Nad Kavalírkou 1.""",,,,,,,
"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
353.,64459,"50,000","2,000",14,8,19,7
354.,16999,"50,000","1,000",4,8,21,16
355.,22197,"49,777","1,777",10,10,14,14
356.,36661,"49,330","1,330",12,10,20,6
357.,66945,"49,110","1,110",10,14,18,6
358.,78471,"49,000","2,000",10,8,17,12
359.,23101,"48,667","1,667",10,8,18,11
360.,34175,"48,000","2,000",10,8,12,16
361.,71691,"47,777","1,777",14,8,18,6
362.,28977,"46,890","1,890",12,12,14,7
363.,57453,"46,670","0,670",14,4,18,10
Stránka 10 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
364.,76211,"46,330","1,330",6,10,16,13
365.,82539,"45,223","1,223",16,8,12,8
366.,50899,"45,000","2,000",14,10,11,8
367.,81183,"45,000","2,000",12,10,8,13
368.,49091,"44,667","1,667",12,8,16,7
369.,49995,"43,667","1,667",6,8,19,9
370.,19711,"43,447","1,447",6,10,16,10
371.,94065,"42,000","1,000",14,8,11,8
372.,20163,"41,557","1,557",14,4,16,6
373.,72821,"41,000","1,000",6,10,12,12
374.,97455,"40,330","1,330",8,6,15,10
375.,92257,"40,000","1,000",10,8,12,9
376.,82991,"39,667","1,667",8,10,13,7
377.,67849,"39,330","1,330",,,13,25
378.,83895,"39,110","1,110",10,6,17,5
379.,58583,"39,000","2,000",16,4,11,6
380.,86155,"38,110","1,110",10,8,11,8
381.,33271,"37,890","1,890",18,6,6,6
382.,84573,"36,667","0,667",6,14,9,7
383.,53837,"32,780","0,780",8,14,5,5
384.,20615,"27,890","0,890",10,4,7,6
385.,80279,"22,000","2,000",0,0,,20
386.,45701,"25,667","0,667",8,4,3,10
Celkem počet:,330,,,,,,
Stránka 11 z 11,,,,,,,
