Výsledek 1.kola přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4L-Rl81 Gymnázia, Praha 6, Nad Alejí L952",,,,,,,,
l.term ín t8.4.2oL7 a 2.termín 20.4.2oL7,,,,,,,,
V souladu s 5 609 školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl,,,,,,,,
"vzdělávat se v Gymn ázlu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli",,,,,,,,
"školy, a to nejpozději do L0 pracovních dnů ode dne zveřejnění seznamu (17.5.2017\.",,,,,,,,
NepotvrdĹli uchazeč/uchazečka nebo zákonný zástupce nezletilého uchazeče/nezletilé,,,,,,,,
"uchazečky odevzdáním zápisového lístku úmysl vzdělávat Se Ve středníškole, zanĺl<ají",,,,,,,,
posledním dnem lhůty právní účinkyrozhodnutí o přijetítohoto uchazeče ke vzdělávánív,,,,,,,,
dané středníškole. Nezletilého uchazeče/nezletĺlouuchazečku zastupuje zákonný zástupce,,,,,,,,
"V rozsahu, v jakém nemá nezletilý/nezletilá procesnízpůsobilost.",,,,,,,,
ěíslo,,Či,,Body,Body Zš,Celkem,Umĺstění,Výsledek
zkoušky,Termín,,M,zkouška,,,,př.řízení
340,2,40,3Ż,72,12,84,19t.-r92.,nepřijat/a
341,1.,46,43,89,1'Ż,101,36.,přiiat/a
342,1,38,38,76,t2,88,"1,46",nepřiiat/a
346,2,38,4T,79,1.L,90,1.19,nepřiiat/a
347,2,44,42,86,1.2,98,57.-58.,přĺiat/a
348,2,Ż3,16,39,8,47,426.,nepřijat/a
349,2,46,39,85,12,97,68.-69,nepřĺjat/a
350,1.,35,43,78,12,90,1.21..-1.22,nepřijat/a
351,"1,",43,35,78,12,90,"1,28.",nepřiiat/a
352,I,41,44,85,12,97,61.-63,přĺiat/a
353,T,4I,42,83,t2,95,79.-81,nepřiiat/a
354,2,35,Ż7,62,12,74,281,nepřiiat/a
355,2,33,39,72,12,84,1.85,nepřijat/a
3s6,1.,46,44,90,"1,2",t02,28,přijatla
357,1.,28,28,56,9,65,351,nepřijat/a
358,t,43,42,85,12,97,64.-65.,nepřiiat/a
359,1,47,40,87,12,99,51.-52,přĺjat/a
360,"1,",37,23,60,t2,72,"300,",nepřijat/a
361,2,27,33,60,"1.1,",7T,305,nepřijat/a
362,2,32,"1,9",51,9,60,378.,nepřijat/a
363,2,29,13,42,12,54,"4rt,",nepřiiat/a
364,1.,32,27,59,1.2,7t,313,nepřiiat/a
365,2,33,32,65,"1,2",77,250,nepřiĺat/a
366,2,37,30,67,tŻ,79,236,nepřijat/a
367,2,39,42,81,12,93,98.-99,nepřijat/a
368,1,45,46,9L,12,103,18.-19,přijat/a
369,2,36,33,69,T2,81,217.-2r8.,nepřijat/a
370,2,40,30,70,T2,82,208.,nepřijat/a
37r,2,29,4I,70,1.2,82,205.,nepřĺjat/a
372,2,0,0,0,12,1_Z,,probíhá PŘ

373,z,34,2Ż,56,8,64,359,nepřiĺat/a
374,2,40,4I,81,t2,93,100.,nepřiiat/a
375,t,39,40,79,IŻ,91,"1,16.",nepřiĺat/a
376,2,25,26,51,"1,2",63,36s.-366.,n epřiĺat/a
377,2,35,29,64,1.2,76,265.,nepřijat/a
379,L,40,46,86,12,98,54.,přijat/a
380,I,43,46,89,L2,101,30.-31.,přijat/a
381,2,42,35,77,L2,89,136.-138,nepřijat/a
382,L,43,40,83,t2,95,84.,ne přiiat/a
383,1.,44,42,86,12,98,57.-58.,přiiat/a
384,2,44,44,88,t2,"1""00",4t.-42,přiiat/a
385,1.,34,35,69,t2,81,213,nepřiĺat/a
386,L,37,38,75,!2,87,157.-158,nepřijat/a
395,2,13,ZB,"41,",12,53,41.4.,nepřijat/a
396,T,29,39,68,72,80,"221,.",nepřijat/a
397,1,37,4Ż,79,9,88,"1,4r",nepřiiat/a
398,2,29,34,63,9,72,294.,nepřiiat/a
399,1.,28,44,72,"1,2",84,"180.-181""",nepřiiat/a
400,2,45,48,93,t2,105,"1,r.-12",přiiat/a
401,2,33,24,57,IŻ,69,32s,nepřiiat/a
402,T,33,33,66,10,76,258.,nepřijat/a
403,2,40,32,72,1.2,84,"1,91,.-792",nepřĺjat/a
404,2,22,27,49,1.2,61,375.,nepřijat/a
405,1,27,29,56,11,67,337,nepřiiat/a
406,1,24,4t,65,8,73,283,nepřiiat/a
407,L,28,13,4I,"1,2",53,415,nepřiĺat/a
408,2,20,9,29,8,37,446,nepřiiat/a
Ąo9,2,39,42,81,T2,93,98.-99,nepřijat/a
41.O,T,43,38,81,T2,93,101,nepřijat/a
"41,r","1""",30,29,59,12,77,311.,nepřijat/a
412,t,34,4t,75,T2,87,154.-155,nepřijat/a
41.3,"1,",37,41.,78,12,90,1.24.-r25,nepřiiat/a
"41,4","1,",20,25,45,"1,1,",56,404,nepřiiat/a
41.5,7,"1,9",z4,43,8,5L,418,nepřiiat/a
41.6,2,4t,44,85,t2,97,61.-63,přijat/a
417,t,25,23,48,1.2,60,381.,nepřijat/a
"41,8",t,32,34,66,6,72,291..,nepřĺjat/a
4t9,I,49,42,91,12,103,Żt,přiiat/a
420,2,26,18,44,T2,56,405,nepřiiat/a
42r,2,0,0,0,6,6,,nekonal/a
422,2,32,44,76,1.2,88,1.42,nepřijat/a
423,2,42,42,84,1.2,96,72.-73.,nepřijat/a
424,"1,",34,4t,75,T2,87,154.-155,nepřĺiat/a
425,t,24,23,47,12,59,387,nepřiiat/a
