Výsledky přijímacího řízenív 1.kole přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4t-Kĺ81 Gymnázia, Praha 6, Nad Atejí L952",,,,,,,,
l.termín 13.4.2oL8 a 2.termín L7 .4.2oL8,,,,,,,,
V souladu s 5 60g školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl vzdělávat se v,,,,,,,,
"Gymnáziu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli školy, a to nejpozději",,,,,,,,
do L0 pracovních dnů ode dne zveřejněníseznamu (16.5.2018).NepotvrdĹli uchazeč/uchazečka,,,,,,,,
nebo zákonný zástupce nezletilého uchazeče/nezletiléuchazečky odevzdáním zápisového lístku,,,,,,,,
"úmysl vzdělávat se Ve střední škole, zanikají posledním dnem lhůty právní účinkyrozhodnutío",,,,,,,,
přijetítohoto uchazeče ke vzdělávánív dané středníškole. Nezletilého uchazeče/nezletĺlou,,,,,,,,
"uchazečku zastupuje zákonný zástupce v rozsahu, v jakém nemá nezletilý/nezletĺlá procesní",,,,,,,,
způsobilost.,,,,,,,,
číslo,,,,Body,,,,
,,,,,,,,Výsledek
,Terrnĺn,,,zkouška,,,Umístění,př.řízení
328,2,25,28,53,10,63,287,nepřijaVa

329,1.,34,ZT,55,10,65,263,nepřijaUa
330,1.,22,T4,36,4,40,40L,nepřijava
333,1.,L4,7,2I,4,25,427,nepřijaua
335,2,28,35,63,IZ,75,1.84.,nepřijaVa
336,1.,38,26,64,7T,75,L83,nepřijat/a
337,1,39,30,69,12,81,132.-133.,nepřijaua
338,t,27,29,56,L2,68,244.-245.,nepřiiaUa
339,2,46,32,78,L2,90,73,nepřiiat/a
340,L,49,48,97,72,109,Ż,přiiat/a
34r,2,13,10,23,7,24,429,nepřiiat/a
342,t,23,t7,40,8,48,376,nepřijat/a
343,2,33,32,65,"1,r",76,L71,nepřijaťa
344,"1,",42,40,82,12,94,44.-45,přijaUa
345,1,39,34,73,IT,84,103.,nepřiiaUa
346,1.,45,49,94,10,LO4,10,přiiaUa
347,2,26,I4,40,9,49,369.-370.,nepřiiat/a
351,2,29,27,56,L2,68,246.,nepřijaUa
352,I,2I,13,34,7,47,398.,nepřijat/a
354,2,37,37,74,12,86,95.,nepřijat/a
355,I,L7,L4,31,72,43,39s,nepřijaUa
3s6,I,16,1.6,32,10,42,396,nepřijaUa
357,1,22,21,43,8,51,356,nepřijaVa
3s8,T,27,13,40,9,49,"371,",nepřijat/a
359,1,T7,2L,38,10,48,377,nepřiiaUa
360,I,31,22,53,72,65,267.-268.,nepřiiaVa
363,2,25,30,55,12,67,254.,nepřiiat/a
364,1.,44,37,81,L2,93,55.-56.,přijatla
365,2,34,29,63,T2,75,186.-r87,nepřijaUa
366,1,49,47,96,L2,108,6.,přijat/a
367,2,27,28,55,"11,",66,257,nepřijat/a
368,1,12,74,26,8,34,418.,nepřiiaVa
369,2,23,20,43,10,53,343.-344,nepřijaUa
370,I,40,2t,6I,9,70,222.,nepřijat/a
37r,"1,",19,12,31,7,38,406.,nepřijaUa
372,t,38,30,68,t2,80,"1,40.-141,.",nepřijaťa
373,2,33,31,64,LZ,76,t73,nepřijat/a
374,1,27,25,52,T2,64,277.,nepřiiat/a
