TODROP,RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM,YEAR,SCHOOLCOURSE_ID
290,291,8202,17.0,0,13,9,39,2020,1581
291,292,8280,19.0,0,12,8,39,2020,1581
292,293,8199,15.0,0,12,11,38,2020,1581
293,294,8304,15.0,0,7,12,34,2020,1581
294,295,8299,15.0,0,13,5,33,2020,1581
295,296,8268,19.0,0,4,9,32,2020,1581
296,297,8257,16.0,0,12,4,32,2020,1581
297,298,8283,18.0,0,11,1,30,2020,1581
298,299,8305,13.0,0,9,7,29,2020,1581
299,300,8289,19.0,0,6,0,25,2020,1581
