TODROP,ID,RANK,GRADES,MATH,CZECH,VR,SUM,YEAR,SCHOOLCOURSE_ID
391,820404,385,10.0,15.0,19.0,20.0,64.0,2020,1981
392,820405,205,11.2,35.0,33.0,27.0,106.2,2020,1981
393,820406,89,12.0,43.0,41.0,27.0,123.0,2020,1981
394,820407,326,7.8,20.0,20.0,31.0,78.8,2020,1981
395,820408,295,10.4,18.0,25.0,33.0,86.4,2020,1981
396,820409,310,7.0,30.0,17.0,28.0,82.0,2020,1981
397,820410,122,12.0,39.0,32.0,35.0,118.0,2020,1981
398,820411,45,12.0,39.0,41.0,39.0,131.0,2020,1981
399,820412,39,12.0,35.0,47.0,38.0,132.0,2020,1981
400,820413,246,11.2,31.0,24.0,31.0,97.2,2020,1981
401,820414,49,10.6,45.0,37.0,38.0,130.6,2020,1981
402,820415,115,12.0,33.0,36.0,38.0,119.0,2020,1981
403,820416,342,9.2,30.0,35.0,,74.2,2020,1981
404,820417,316,12.0,35.0,34.0,,81.0,2020,1981
405,820418,90,12.0,27.0,40.0,43.0,122.0,2020,1981
406,820419,212,12.0,27.0,35.0,31.0,105.0,2020,1981
407,820420,264,11.4,29.0,23.0,31.0,94.4,2020,1981
408,820421,117,12.0,34.0,38.0,35.0,119.0,2020,1981
409,820422,134,12.0,34.0,39.0,32.0,117.0,2020,1981
410,820423,201,10.8,33.0,35.0,28.0,106.8,2020,1981
411,820424,277,11.2,24.0,27.0,29.0,91.2,2020,1981
412,820425,193,12.0,28.0,33.0,35.0,108.0,2020,1981
413,820426,234,10.0,30.0,36.0,24.0,100.0,2020,1981
414,820427,164,12.0,35.0,29.0,36.0,112.0,2020,1981
415,820428,421,2.4,8.0,12.0,23.0,45.4,2020,1981
416,820429,347,10.0,18.0,23.0,22.0,73.0,2020,1981
417,820430,387,0.0,13.0,25.0,25.0,63.0,2020,1981
418,820431,372,4.2,22.0,18.0,22.0,66.2,2020,1981
