TODROP,ID,TERMIN,GRADES,MATH,CZECH,SUM,RANK,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
233,817236,2,12.0,36,38,86.0,78,nepřijat/a,2017,1981
234,817237,2,9.2,10,20,39.2,338,nepřijat/a,2017,1981
235,817238,2,7.8,35,34,76.8,148,nepřijat/a,2017,1981
236,817239,2,12.0,36,27,75.0,157,nepřijat/a,2017,1981
237,817240,2,12.0,44,46,102.0,9,přijat/a,2017,1981
238,817241,2,10.6,38,29,77.6,137,nepřijat/a,2017,1981
239,817242,2,12.0,30,32,74.0,162,nepřijat/a,2017,1981
240,817243,2,1.0,30,40,71.0,183,nepřijat/a,2017,1981
241,817244,2,6.2,39,35,80.2,123,nepřijat/a,2017,1981
242,817245,2,11.4,36,26,73.4,165,nepřijat/a,2017,1981
243,817246,2,12.0,46,42,100.0,14,přijat/a,2017,1981
244,817247,2,7.2,27,23,57.2,272,nepřijat/a,2017,1981
245,817248,2,11.2,15,18,44.2,313,nepřijat/a,2017,1981
246,817249,2,12.0,27,36,75.0,157,nepřijat/a,2017,1981
247,817250,2,10.6,31,36,77.6,137,nepřijat/a,2017,1981
248,817251,2,11.2,29,32,72.2,173,nepřijat/a,2017,1981
249,817252,2,12.0,35,36,83.0,103,nepřijat/a,2017,1981
250,817253,2,12.0,32,35,79.0,132,nepřijat/a,2017,1981
251,817254,2,12.0,33,36,81.0,116,nepřijat/a,2017,1981
252,817255,2,12.0,41,31,84.0,93,nepřijat/a,2017,1981
253,817256,2,12.0,40,35,87.0,71,přijat/a,2017,1981
254,817257,2,4.6,20,15,39.6,337,nepřijat/a,2017,1981
255,817258,2,10.6,40,40,90.6,45,přijat/a,2017,1981
256,817259,2,9.8,22,30,61.8,244,nepřijat/a,2017,1981
257,817260,2,8.6,39,34,81.6,113,nepřijat/a,2017,1981
258,817261,2,8.2,20,12,40.2,334,nepřijat/a,2017,1981
259,817262,2,7.0,30,22,59.0,264,nepřijat/a,2017,1981
260,817263,2,11.2,27,38,76.2,150,nepřijat/a,2017,1981
261,817264,2,12.0,39,30,81.0,116,nepřijat/a,2017,1981
262,817265,2,12.0,33,45,90.0,47,přijat/a,2017,1981
263,817266,2,12.0,42,46,100.0,14,přijat/a,2017,1981
264,817267,2,12.0,42,47,101.0,11,přijat/a,2017,1981
265,817268,2,12.0,35,43,90.0,47,přijat/a,2017,1981
266,817269,2,12.0,33,42,87.0,75,nepřijat/a,2017,1981
267,817270,2,12.0,48,48,108.0,1,přijat/a,2017,1981
268,817271,2,12.0,40,35,87.0,71,přijat/a,2017,1981
269,817272,2,12.0,35,43,90.0,47,přijat/a,2017,1981
270,817273,2,0.0,14,12,26.0,346,nepřijat/a,2017,1981
271,817274,2,12.0,43,46,101.0,11,přijat/a,2017,1981
272,817275,2,9.8,35,25,69.8,191,nepřijat/a,2017,1981
273,817276,2,8.4,28,36,72.4,171,nepřijat/a,2017,1981
274,817277,2,8.4,30,22,60.4,253,nepřijat/a,2017,1981
275,817278,2,11.2,27,32,70.2,186,nepřijat/a,2017,1981
276,817279,2,12.0,38,37,87.0,74,nepřijat/a,2017,1981
277,817280,2,10.6,37,18,65.6,216,nepřijat/a,2017,1981
278,817281,2,11.2,40,39,90.2,46,přijat/a,2017,1981
279,817282,2,4.6,6,19,29.6,344,nepřijat/a,2017,1981
280,817283,2,11.4,17,29,57.4,271,nepřijat/a,2017,1981
281,817284,2,11.4,31,27,69.4,193,nepřijat/a,2017,1981
282,817285,2,12.0,21,33,66.0,213,nepřijat/a,2017,1981
283,817286,2,12.0,25,27,64.0,226,nepřijat/a,2017,1981
284,817287,2,11.4,10,22,43.4,317,nepřijat/a,2017,1981
285,817288,2,12.0,31,25,68.0,203,nepřijat/a,2017,1981
286,817289,2,11.4,38,42,91.4,42,přijat/a,2017,1981
287,817290,2,12.0,39,29,80.0,124,nepřijat/a,2017,1981
288,817291,2,12.0,30,31,73.0,167,nepřijat/a,2017,1981
289,817292,2,12.0,29,39,80.0,124,nepřijat/a,2017,1981
290,817293,2,10.4,29,23,62.4,237,nepřijat/a,2017,1981
291,817294,2,11.2,32,20,63.2,230,nepřijat/a,2017,1981
292,817295,2,12.0,40,40,92.0,40,přijat/a,2017,1981
293,817296,2,12.0,46,43,101.0,11,přijat/a,2017,1981
294,817297,2,12.0,48,39,99.0,18,přijat/a,2017,1981
295,817298,2,12.0,38,36,86.0,78,nepřijat/a,2017,1981
296,817299,2,11.4,25,28,64.4,223,nepřijat/a,2017,1981
297,817300,2,8.4,26,28,62.4,237,nepřijat/a,2017,1981
298,817301,2,12.0,35,23,70.0,188,nepřijat/a,2017,1981
299,817302,2,12.0,40,31,83.0,103,nepřijat/a,2017,1981
300,817303,2,8.4,17,18,43.4,317,nepřijat/a,2017,1981
301,817304,2,11.4,48,33,92.4,39,přijat/a,2017,1981
302,817305,2,11.2,34,33,78.2,135,nepřijat/a,2017,1981
303,817306,2,12.0,6,17,35.0,341,nepřijat/a,2017,1981
304,817307,2,10.6,32,29,71.6,178,nepřijat/a,2017,1981
305,817308,2,8.8,36,21,65.8,215,nepřijat/a,2017,1981
306,817309,2,12.0,42,36,90.0,47,přijat/a,2017,1981
307,817310,2,5.6,24,13,42.6,325,nepřijat/a,2017,1981
308,817311,2,12.0,30,43,85.0,83,nepřijat/a,2017,1981
309,817312,2,12.0,41,36,89.0,55,přijat/a,2017,1981
310,817313,2,12.0,19,25,56.0,277,nepřijat/a,2017,1981
311,817314,2,12.0,22,42,76.0,152,nepřijat/a,2017,1981
312,817315,2,7.8,25,28,60.8,252,nepřijat/a,2017,1981
313,817316,2,9.4,21,18,48.4,303,nepřijat/a,2017,1981
314,817317,2,8.4,17,18,43.4,317,nepřijat/a,2017,1981
315,817318,2,5.6,18,25,48.6,302,nepřijat/a,2017,1981
316,817319,2,12.0,32,31,75.0,157,nepřijat/a,2017,1981
317,817320,2,12.0,33,36,81.0,116,nepřijat/a,2017,1981
318,817321,2,5.6,28,11,44.6,311,nepřijat/a,2017,1981
319,817322,2,12.0,34,29,75.0,157,nepřijat/a,2017,1981
320,817323,2,5.6,31,23,59.6,262,nepřijat/a,2017,1981
321,817324,2,8.8,17,18,43.8,316,nepřijat/a,2017,1981
322,817325,2,9.8,31,26,66.8,209,nepřijat/a,2017,1981
323,817326,2,12.0,36,34,82.0,108,nepřijat/a,2017,1981
324,817328,2,11.4,37,29,77.4,139,nepřijat/a,2017,1981
325,817329,2,12.0,38,43,93.0,35,přijat/a,2017,1981
326,817330,2,12.0,33,20,65.0,219,nepřijat/a,2017,1981
327,817331,2,11.4,36,46,93.4,34,přijat/a,2017,1981
328,817332,2,12.0,47,43,102.0,9,přijat/a,2017,1981
329,817333,2,12.0,33,35,80.0,124,nepřijat/a,2017,1981
330,817334,2,12.0,42,42,96.0,23,přijat/a,2017,1981
331,817335,2,7.8,23,31,61.8,244,nepřijat/a,2017,1981
332,817336,2,9.4,35,33,77.4,139,nepřijat/a,2017,1981
333,817337,2,12.0,40,40,92.0,40,přijat/a,2017,1981
334,817338,2,10.6,34,24,68.6,199,nepřijat/a,2017,1981
335,817339,2,12.0,30,39,81.0,116,nepřijat/a,2017,1981
336,817340,2,9.4,40,22,71.4,179,nepřijat/a,2017,1981
337,817341,2,8.0,38,38,84.0,93,nepřijat/a,2017,1981
338,817342,2,7.6,33,22,62.6,235,nepřijat/a,2017,1981
339,817343,2,11.4,23,28,62.4,237,nepřijat/a,2017,1981
340,817344,2,12.0,46,47,105.0,3,přijat/a,2017,1981
341,817345,2,12.0,26,18,56.0,277,nepřijat/a,2017,1981
342,817346,2,12.0,33,37,82.0,108,nepřijat/a,2017,1981
343,817347,2,12.0,19,25,56.0,277,nepřijat/a,2017,1981
344,817348,2,12.0,11,20,43.0,321,nepřijat/a,2017,1981
345,817349,2,11.4,17,14,42.4,327,nepřijat/a,2017,1981
