,"Seznam nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Rozhodnutí
,,za ZŠ,MAT ČJ VŠP,,,,
276.,8165,10,26,28,13,77,Nepřijat
277.,8222,12,16,30,19,77,Nepřijat
278.,8033,6,31,24,15,76,Nepřijat
279.,8166,7,21,30,18,76,Nepřijat
280.,8315,8,16,34,18,76,Nepřijat
281.,8311,15,22,27,12,76,Nepřijat
282.,8394,15,26,22,13,76,Nepřijat
283.,8191,15,28,19,14,76,Nepřijat
284.,8052,15,13,34,14,76,Nepřijat
285.,8085,14,21,23,18,76,Nepřijat
286.,8264,15,25,22,13,75,Nepřijat
287.,8056,15,20,25,15,75,Nepřijat
288.,8277,11,19,25,20,75,Nepřijat
289.,8205,9,20,30,15,74,Nepřijat
290.,8024,10,27,22,15,74,Nepřijat
291.,8236,15,24,22,13,74,Nepřijat
292.,8378,12,27,18,17,74,Nepřijat
293.,8220,12,19,25,18,74,Nepřijat
294.,8406,6,21,30,16,73,Nepřijat
295.,8322,12,22,28,11,73,Nepřijat
296.,8114,12,21,24,16,73,Nepřijat
297.,8370,7,38,14,13,72,Nepřijat
298.,8350,15,28,18,11,72,Nepřijat
299.,8255,14,19,24,15,72,Nepřijat
300.,8254,10,16,27,19,72,Nepřijat
301.,8131,15,21,21,14,71,Nepřijat
302.,8184,12,19,23,16,70,Nepřijat
303.,8344,13,20,21,16,70,Nepřijat
304.,8227,4,26,22,17,69,Nepřijat
305.,8384,12,16,24,16,68,Nepřijat
306.,8365,11,14,26,17,68,Nepřijat
307.,8393,15,15,24,14,68,Nepřijat
308.,8228,15,13,24,16,68,Nepřijat
309.,8193,15,11,25,17,68,Nepřijat

,"Seznam nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Rozhodnutí
,,za ZŠ,MAT ČJ VŠP,,,,
310.,8320,3,36,18,10,67,Nepřijat
311.,8076,9,25,21,12,67,Nepřijat
312.,8308,8,21,25,13,67,Nepřijat
313.,8257,9,19,23,16,67,Nepřijat
314.,8411,11,26,14,16,67,Nepřijat
315.,8067,14,18,21,13,66,Nepřijat
316.,8099,12,20,16,18,66,Nepřijat
317.,8356,13,4,31,18,66,Nepřijat
318.–319.,8012,12,19,19,15,65,Nepřijat
318.–319.,8087,13,19,19,14,65,Nepřijat
320.,8044,9,18,20,18,65,Nepřijat
321.,8335,15,21,14,15,65,Nepřijat
322.,8400,13,12,23,17,65,Nepřijat
323.,8145,4,27,21,12,64,Nepřijat
324.,8150,11,14,23,16,64,Nepřijat
325.,8388,10,14,20,20,64,Nepřijat
326.,8414,10,20,18,15,63,Nepřijat
327.,8027,9,19,23,11,62,Nepřijat
328.,8171,9,8,27,18,62,Nepřijat
329.,8016,5,23,19,14,61,Nepřijat
330.,8121,13,18,14,16,61,Nepřijat
331.,8243,12,9,22,18,61,Nepřijat
332.,8274,15,7,20,19,61,Nepřijat
333.,8025,11,14,19,16,60,Nepřijat
334.,8321,4,18,22,15,59,Nepřijat
335.,8232,8,21,14,16,59,Nepřijat
336.,8253,15,7,22,15,59,Nepřijat
337.,8021,10,11,23,14,58,Nepřijat
338.,8288,9,17,18,13,57,Nepřijat
339.,8279,14,9,18,16,57,Nepřijat
340.,8380,10,12,26,8,56,Nepřijat
341.,8089,8,14,23,11,56,Nepřijat
342.,8129,7,12,21,16,56,Nepřijat
343.,8276,11,13,16,14,54,Nepřijat
344.,8289,12,8,20,14,54,Nepřijat
345.,8211,1,30,11,11,53,Nepřijat
346.,8364,8,11,21,12,52,Nepřijat
347.,8395,11,17,10,14,52,Nepřijat
348.,8019,5,5,28,13,51,Nepřijat
349.,8154,5,16,15,15,51,Nepřijat
350.,8132,14,8,13,16,51,Nepřijat
351.,8071,9,8,19,14,50,Nepřijat
352.,8050,6,14,15,14,49,Nepřijat
353.,8158,3,17,10,19,49,Nepřijat
354.,8225,10,8,17,14,49,Nepřijat
355.,8209,2,14,20,12,48,Nepřijat
356.,8057,11,10,16,10,47,Nepřijat

,"Seznam nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Rozhodnutí
,,za ZŠ,MAT ČJ VŠP,,,,
357.,8389,15,4,13,15,47,Nepřijat
358.,8354,5,18,14,9,46,Nepřijat
359.,8096,9,18,11,8,46,Nepřijat
360.,8042,4,17,12,13,46,Nepřijat
361.,8326,4,10,18,14,46,Nepřijat
362.,8417,15,8,12,11,46,Nepřijat
363.,8040,9,14,13,9,45,Nepřijat
364.,8327,6,8,13,17,44,Nepřijat
365.,8084,2,18,14,9,43,Nepřijat
366.,8192,4,10,15,13,42,Nepřijat
367.,8336,9,9,13,11,42,Nepřijat
368.,8103,4,10,17,10,41,Nepřijat
369.,8345,4,8,18,11,41,Nepřijat
370.,8318,9,10,8,14,41,Nepřijat
371.,8233,10,7,12,11,40,Nepřijat
372.,8292,11,7,10,11,39,Nepřijat
373.,8418,0,14,18,5,37,Nepřijat
374.,8250,2,10,12,12,36,Nepřijat
375.,8280,2,12,8,13,35,Nepřijat
376.,8385,0,9,5,12,26,Nepřijat
377.,8013,7,2,9,8,26,Nepřijat
378.,8416,1,5,13,6,25,Nepřijat
379.,8353,5,6,6,7,24,Nepřijat
380.,8419,4,6,4,7,21,Nepřijat
