"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Pfijati izici,,"B°”'.""..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
812123,7,0,25,30,16.5,78.5,337
811079,8,0,28,27,15.5,78.5,338
822028,10,0,22,22,24,78,339
812020,9,0,30,17,22,78,340
811100,8,0,20,30,20,78,341
812043,10,0,27,23,18,78,342
822033,10,0,18,24,25.5,77.5,343
812124,1,0,32,26,18.5,77.5,344
822050,10,0,26,20,21,77,345
811025,8,0,27,17,24.5,76.5,346
821067,8,0,25,21,22.5,76.5,347
812118,5,0,28,26,17.5,76.5,348
822058,8,0,19,32,17.5,76.5,349
821089,10,0,27,17,22,76,350
811095,8,0,21,27,19.5,75.5,351
811006,3,0,22,20,29.5,74.5,352
821088,4,0,18,25,27.5,74.5,353
821039,9,0,24,16,25.5,74.5,354
812021,10,0,19,23,22.5,74.5,355
822078,10,0,25,24,15.5,74.5,356
811049,9,0,25,17,23,74,357
812122,7,0,22,25,20,74,358
821083,9,0,28,20,17,74,359
822041,8,0,27,15,23.5,73.5,360
821080,2,0,20,28,23.5,73.5,361
812033,10,0,16,29,18.5,73.5,362
812058,9,0,23,25,16,73,363
811060,6,0,21,18,27.5,72.5,364
812063,8,0,25,19,20.5,72.5,365
812034,9,0,19,22,22,72,366
811032,5,0,22,21,23.5,71.5,367
812055,10,0,30,18,13.5,71.5,368
"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Nepfijati izici,,"B°”'f’..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
821002,10,0,19,19,23,71,369
822062,7,0,29,20,15,71,370
821048,7,0,25,20,18.5,70.5,371
811089,9,0,18,25,18.5,70.5,372
811007,8,0,16,22,24,70,373
821078,9,0,22,17,22,70,374
821035,2,0,17,29,22,70,375
821060,10,0,21,16,22,69,376
821056,9,0,18,20,22,69,377
811043,8,0,18,24,19,69,378
821086,9,0,25,17,18,69,379
811038,10,0,15,21,22.5,68.5,380
822097,5,0,24,16,23,68,381
811015,2,0,23,21,22,68,382
811045,9,0,20,23,15.5,67.5,383
812017,10,0,17,19,20.5,66.5,384
822047,10,0,16,23,17.5,66.5,385
822071,9,0,24,16,17,66,386
821087,9,0,21,22,13.5,65.5,387
821052,6,0,13,23,20.5,62.5,388
812114,9,0,18,16,19.5,62.5,389
811078,6,0,14,20,22,62,390
812028,3,0,23,22,13.5,61.5,391
822091,0,0,20,18,23,61,392
811036,0,0,16,21,23.5,60.5,393
821004,5,0,14,23,18.5,60.5,394
811002,7,0,17,14,22,60,395
822072,8,0,16,15,20.5,59.5,396
812031,1,0,21,16,21,59,397
811029,10,0,18,17,13,58,398
821033,5,0,21,15,15.5,56.5,399
811042,6,0,13,18,19,56,400
811035,1,0,14,23,16.5,54.5,401
811073,2,0,15,20,17,54,402
812046,9,0,14,18,13,54,403
822046,5,0,18,18,12.5,53.5,404
812121,2,0,20,14,17,53,405
821038,8,0,13,13,17.5,51.5,406
811027,3,0,15,16,17,51,407
812120,0,0,15,16,14.5,45.5,408
"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,
Neprospéli,,"B°“'.'3.V,é",,""",°‘“‘.°",,
,Body,,Pr1]1mac1 zkouska,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,
821066,5,0,23,30,11,69
822102,7,0,12,16,13.5,48.5
812048,10,0,18,23,11.5,62.5
811046,5,0,11,21,14,51
812129,4,0,16,15,0,35
812116,6,0,26,6,26,64
821030,3,0,11,22,15.5,51.5
811028,2,0,15,16,10,43
811017,9,0,13,20,12,54
821092,5,0,19,17,10,51
822105,5,0,10,19,13,47
812133,4,0,15,2,8.5,29.5
811074,6,0,19,9,23.5,57.5
821061,5,0,19,26,12,62
812107,8,0,21,13,10,52
812072,10,0,0,0,34,44
812064,10,0,26,10,21,67
812113,3,0,17,7,9,36
822034,5,0,27,27,12,71
812081,2,0,11,28,11,52
812115,0,0,18,11,15.5,44.5
821074,8,0,12,22,26.5,68.5
812080,8,0,19,23,10,60
812002,6,0,14,23,10.5,53.5
812029,7,0,17,23,11.5,58.5
812074,8,0,30,12,21,71
812102,10,0,17,16,8,51
821085,1,0,11,18,11.5,41.5
821084,3,0,29,21,11,64
