Výsledková listina přijímacích zkoušek - osmileté studium,,,,,,,
Gymnázium Opatov datum zveřejnění: 29. 4. 2019,,,,,,,
Poučení:,,,,,,,
Nepotvrdí-li uchazeč nebo zákonný zástupce nezkletilého uchazeče odevzdáním,,,,,,,
"zápisového lístku úmysl vzdělávat se ve střední škole, zanikají posledním dnem lhůty",,,,,,,
právní účinky rozhodnutí o přijetí tohoto uchazeče ke vzdělávání v dané střední škole.,,,,,,,
Přijatým uchazečům začíná osmileté studium 2. 9. 2019.,,,,,,,
,,,B o d o v é h o d n o c e n í,,,,
Přijatí žáci,Body,z toho,Přijímací zkouška,,,Celkem,Pořadí
Kód,za ZŠ,bonus,ČJ,M,VPAJ,,
812032,1,0,35,18,19.5,73.5,229.
822027,7,0,23,18,25.0,73.0,230.
811044,8,0,21,24,20.0,73.0,231.
812033,7,0,24,23,19.0,73.0,232.
821093,4,0,33,22,14.0,73.0,233.
812035,9,0,26,13,24.5,72.5,234.
811059,3,0,26,23,20.5,72.5,235.
811027,10,0,27,16,19.5,72.5,236.
821015,10,0,27,17,18.5,72.5,237.
811063,9,0,19,19,25.0,72.0,238.
811050,9,0,28,16,18.5,71.5,239.
812002,5,0,25,19,22.0,71.0,240.
811024,8,0,19,22,21.5,70.5,241.
812041,10,0,26,19,15.5,70.5,242.
811067,10,0,17,15,28.0,70.0,243.
812057,10,0,19,15,26.0,70.0,244.
821103,7,0,25,23,15.0,70.0,245.
812040,10,0,26,21,12.5,69.5,246.
811017,8,0,21,13,27.0,69.0,247.
811042,10,0,21,21,17.0,69.0,248.

,,,B o d o v é h o d n o c e n í,,,,
Nepřijatí žáci,,,,,,,
,Body,z toho,Přijímací zkouška,,,Celkem,Pořadí
Kód,za ZŠ,bonus,ČJ,M,VPAJ,,
821005,0,0,29,25,14.5,68.5,249.
822040,0,0,28,21,18.0,67.9,250.
821104,10,0,20,20,17.5,67.5,251.
822037,10,0,25,16,16.5,67.5,252.
822054,10,0,25,20,12.5,67.5,253.
812106,10,0,25,16,16.0,67.0,254.
821073,9,0,24,18,16.0,67.0,255.
821063,8,0,23,14,21.0,66.0,256.
812008,8,0,21,17,20.0,66.0,257.
821061,7,0,19,25,15.0,66.0,258.
812083,8,0,22,14,21.5,65.5,259.
821092,10,0,18,19,18.5,65.5,260.
812005,7,0,22,19,17.0,65.0,261.
822074,9,0,23,17,16.0,65.0,262.
811061,10,0,22,17,16.0,65.0,263.
812027,9,0,18,19,18.5,64.5,264.
812091,7,0,23,16,18.0,64.0,265.
811092,9,0,22,18,15.0,64.0,266.
812088,8,0,24,18,14.0,64.0,267.
811075,8,0,24,18,13.5,63.5,268.
812045,9,0,22,19,13.5,63.5,269.
822073,4,0,22,13,24.0,63.0,270.
812102,10,0,19,14,20.0,63.0,271.
812111,6,0,22,18,17.0,63.0,272.
821083,10,0,15,21,17.0,63.0,273.
822046,7,0,17,26,13.0,63.0,274.
822078,6,0,24,17,15.5,62.5,275.
821025,7,0,23,20,12.5,62.5,276.
821024,4,0,25,13,20.0,62.0,277.
811101,3,0,24,17,18.0,62.0,278.
822060,10,0,14,20,18.0,62.0,279.
811003,7,0,21,14,19.5,61.5,280.
811114,6,0,19,22,14.5,61.5,281.
812077,3,0,23,15,20.0,61.0,282.
822077,8,0,17,19,17.0,61.0,283.
812101,10,0,17,16,17.5,60.5,284.
821058,10,0,18,18,13.0,59.0,285.
822044,1,0,27,17,13.5,58.5,286.
822008,9,0,18,14,17.0,58.0,287.
812053,9,0,19,15,15.0,58.0,288.
811053,6,0,16,14,21.5,57.5,289.
822072,8,0,17,19,13.0,57.0,290.
811055,10,0,15,14,17.5,56.5,291.
822064,10,0,20,13,13.5,56.5,292.
812046,7,0,16,16,17.0,56.0,293.
812010,4,0,19,13,19.5,55.5,294.
811072,9,0,13,17,14.0,53.0,295.

,,,B o d o v é h o d n o c e n í,,,,
Nepřijatí žáci,,,,,,,
,Body,z toho,Přijímací zkouška,,,Celkem,Pořadí
Kód,za ZŠ,bonus,ČJ,M,VPAJ,,
821095,6,0,20,14,13.0,53.0,296.
811002,8,0,13,13,16.0,50.0,297.
811108,0,0,21,14,14.0,49.0,298.
812072,2,0,16,13,14.0,45.0,299.
821038,3,0,16,13,12.5,44.5,300.

,,,B o d o v é h o d n o c e n í,,,,
Neprospěli,,,,,,,
,Body,z toho,Přijímací zkouška,,,Celkem,Pořadí
Kód,za ZŠ,bonus,ČJ,M,VPAJ,,
812014,9,0,11,6,12.0,38.0,
822036,8,0,20,20,10.5,58.5,
811056,10,0,30,12,22.5,74.5,
811085,7,0,20,9,23.5,59.5,
822053,4,0,19,4,6.0,33.0,
811052,9,0,10,14,15.0,48.0,
822022,6,0,30,21,11.5,68.5,
812026,3,0,11,2,15.0,31.0,
812013,10,0,36,12,22.5,80.5,
821013,7,0,27,16,11.5,61.5,
812062,10,0,29,8,29.5,76.5,
812043,10,0,16,11,33.0,70.0,
811068,10,0,19,7,16.5,52.5,
812047,10,0,23,7,28.0,68.0,
812082,6,0,11,9,6.0,32.0,
811097,9,0,15,8,20.5,52.5,
812080,5,0,14,21,11.5,51.5,
821101,0,0,9,10,5.0,24.0,
821039,10,0,11,24,10.0,55.0,
812061,8,0,14,7,11.5,40.5,
811013,8,0,17,23,8.5,56.5,
811066,0,0,13,11,21.5,45.5,
811022,10,0,27,12,22.5,71.5,
822062,7,0,18,8,6.0,39.0,
822049,10,0,31,12,20.0,73.0,
822051,10,0,27,12,12.5,61.5,
812001,9,0,19,11,27.5,66.5,
811104,5,0,14,6,21.0,46.0,
811026,6,0,23,18,6.5,53.5,
822004,9,0,17,7,18.0,51.0,
821050,10,0,14,10,14.5,48.5,
822071,8,0,20,9,17.5,54.5,
821088,0,0,18,6,12.5,36.5,
822050,4,0,25,10,16.0,55.0,
812060,10,0,16,11,19.0,56.0,
821069,7,0,39,7,27.5,80.5,
812086,3,0,11,12,4.5,30.5,
821004,5,0,22,12,9.5,48.5,
821094,8,0,22,11,28.0,69.0,
811084,8,0,12,8,22.0,50.0,
822052,10,0,20,10,14.0,54.0,
812076,9,0,29,5,18.0,61.0,
822076,10,0,19,12,21.0,62.0,
812087,0,0,9,6,6.5,21.5,
812098,5,0,10,15,14.0,44.0,
811064,10,0,13,14,10.0,47.0,
812029,9,0,22,8,20.0,59.0,

,,,B o d o v é h o d n o c e n í,,,,
Neprospěli,,,,,,,
,Body,z toho,Přijímací zkouška,,,Celkem,Pořadí
Kód,za ZŠ,bonus,ČJ,M,VPAJ,,
812048,6,0,18,12,25.5,61.5,
822059,8,0,22,11,18.5,59.5,
811073,4,0,15,11,4.0,34.0,
821020,7,0,15,6,25.5,53.5,
812097,10,0,28,9,20.0,67.0,
822015,10,0,18,10,16.0,54.0,
812051,10,0,16,4,23.0,53.0,
812003,7,0,9,11,6.5,33.5,
812093,0,0,8,11,10.5,29.5,
822058,7,0,9,14,10.5,40.5,
821064,10,0,19,11,10.0,50.0,
822023,3,0,19,11,18.5,51.5,
812066,10,0,15,7,18.5,50.5,
812016,10,0,14,11,10.0,45.0,
821057,6,0,29,34,12.0,81.0,
822003,8,0,14,12,25.0,59.0,
822032,6,0,10,7,21.0,44.0,
812064,9,0,17,7,13.5,46.5,
812109,6,0,20,7,15.5,48.5,
822045,4,0,17,12,17.5,50.5,
811110,4,0,15,6,13.0,38.0,
812103,6,0,23,31,11.5,71.5,
811093,7,0,18,7,19.5,51.5,
811037,10,0,7,5,23.0,45.0,
821070,2,0,12,10,5.5,29.5,
821072,1,0,16,34,10.0,61.0,
821018,0,0,7,13,13.0,33.0,
821021,2,0,12,6,14.5,34.5,
811098,2,0,7,7,14.5,30.5,
821014,9,0,15,11,18.5,53.5,
812070,9,0,18,8,4.0,39.0,
822075,10,0,30,29,11.0,80.0,
812073,6,0,17,1,17.5,41.5,
811112,0,0,19,23,11.0,53.0,
821019,9,0,16,10,20.0,55.0,
812110,9,0,17,8,16.0,50.0,
812108,0,0,15,12,14.0,41.0,
811043,10,0,16,12,17.0,55.0,
811113,4,0,10,5,11.5,30.5,
812067,7,0,12,12,19.0,50.0,
812063,10,0,18,11,15.5,54.5,
811111,4,0,13,7,12.5,36.5,
811078,10,0,18,18,11.0,57.0,
821089,8,0,17,14,8.5,47.5,
821090,8,0,20,17,10.0,55.0,
