
RANK,reg. číslo,čeština,matemat.,ZŠ,Celkem
450.,8266,180,81,80,341
451.,8016,198,81,60,339
452.,8059,126,135,78,339
453.,8090,180,81,78,339
454.,9151,135,153,50,338
455.,8140,99,135,100,334
456.,8170,126,108,100,334
457.,9214,162,72,100,334
458.,9183,99,144,89,332
459.,8182,162,81,89,332
460.,9115,207,54,70,331
461.,8252,72,198,60,330
462.,8144,72,162,90,324
463.,8011,108,135,80,323
464.,8183,162,72,89,323
465.,9029,144,117,56,317
466.,8116,135,117,64,316
467.,9021,90,126,100,316
468.,8088,126,90,100,316
469.,8240,144,72,100,316
470.,9179,162,63,89,314
471.,9022,117,126,70,313
472.,8150,171,81,60,312
473.,8007,90,198,22,310
474.,9250,135,72,100,307
475.,8243,162,45,100,307
476.,8189,144,117,44,305
477.,8086,153,63,89,305
478.,9052,126,117,60,303
479.,8076,153,54,90,297
480.,9227,108,108,78,294
481.,8101,126,90,78,294
482.,9128,90,135,67,292
483.,8015,117,72,100,289
484.,8250,144,45,100,289
485.,9104,99,108,67,274
486.,8077,126,90,55,271
487.,8008,90,108,70,268
488.,9075,126,63,78,267
489.,8135,135,72,55,262
490.,8258,144,45,70,259
491.,8029,135,54,64,253
492.,8213,171,9,73,253
493.,9109,126,72,50,248
494.,9117,108,36,100,244
495.,8081,72,81,90,243
496.,8160,99,54,90,243
497.,8145,117,45,80,242
498.,8033,126,54,60,240
499.,8203,99,54,86,239
500.,8114,81,90,60,231
501.,8097,144,36,50,230
502.,9166,117,18,80,215
503.,9172,126,45,40,211
504.,9169,72,72,60,204
505.,9252,72,36,90,198
506.,9134,81,36,70,187
507.,9136,45,81,60,186
508.,9124,81,54,0,135
